# Classifier readings of a label that are a cursive form of the label itself, not another character.
# A Quick review suspect mark whose label and reading make one of these pairs is not made (quiz_suspects).
# Decided by mkpoli on 2026-09-26 from eight sample crops per pair (the glyph ids below), among the 201
# (label, reading) pairs the corpus marks repeated at least 40 times. A pair is listed only when all eight
# samples were the label; 45 further pairs were answered "can't tell" and are not listed, so they stay marked.
# marks: how many corpus marks the pair held when it was decided.
label	label_code_point	reads_as	reads_as_code_point	marks	samples	decided
う	U+3046	か	U+304B	48	codh:100249476:100249476_00016_1:B0001:C0141 hl:B5A8C444BAB2DC7076365A8660F458F0_4_047:be9c7f9d3d4d:1 hl:833C8DC397DF4B02D31160EA54FD271E_2_089:be9c7f9d3d4d:3 hl:B5A8C444BAB2DC7076365A8660F458F0_12_021:be9c7f9d3d4d:1 codh:200005798:200005798_00101_2:B0001:C0110 codh:200003076:200003076_00041_1:B0001:C0096 codh:200021853:200021853_00006_2:B0001:C0002 codh:200015779:200015779_00064_2:B0001:C0116	2026-09-26
り	U+308A	わ	U+308F	48	hi:34226876 hi:34252109 hi:34226395 hi:34224314 hi:34118239 hi:34225392 hi:34226957 hi:34028519	2026-09-26
候	U+5019	ヽ	U+30FD	48	hi:34258820 hi:34042241 codh:200021063:200021063_00007_2:B0001:C0410 hi:34142832 codh:hnsd00000:hnsd004_037:B0001:C0052 hi:34270110 hi:34095494 hi:34144888	2026-09-26
千	U+5343	干	U+5E72	48	hl:68eb3417ed31bd40b47322289459eeec_34_045:be9c7f9d3d4d:25 hl:68eb3417ed31bd40b47322289459eeec_12_075:be9c7f9d3d4d:7 hi:34185132 hl:68eb3417ed31bd40b47322289459eeec_22_106:be9c7f9d3d4d:9 hi:34184889 hi:34184850 hi:34346377 hng:fhs:0274	2026-09-26
然	U+7136	の	U+306E	48	hi:34194038 hi:34215480 hi:34206799 hi:34221104 hi:34124851 hi:34218029 hi:34152738 hi:34211282	2026-09-26
等	U+7B49	に	U+306B	48	hi:34145356 hi:34174505 hi:34201288 hi:34080222 hi:34259564 hi:34064601 hi:34238683 hi:34244962	2026-09-26
其	U+5176	も	U+3082	47	hi:34267029 hi:34174568 hi:34166410 hi:34515431 hi:34421535 hi:34140302 hi:34209808 hi:34352183	2026-09-26
御	U+5FA1	く	U+304F	47	hi:34201257 hi:34201232 hi:34362145 hl:5B7E3F3297D1937C6677C28010C1C482_1_004:be9c7f9d3d4d:3 hi:34258881 hi:34201216 hi:34422221 hi:34196000	2026-09-26
申	U+7533	事	U+4E8B	47	hi:34061700 hi:34251447 hi:34268387 hi:34361521 hi:34082824 hi:34303703 hi:34061683 hi:34083583	2026-09-26
く	U+304F	ヽ	U+30FD	46	codh:200021660:200021660_00011_1:B0001:C0137 hl:B5A8C444BAB2DC7076365A8660F458F0_15_018:be9c7f9d3d4d:2 codh:200015779:200015779_00020_1:B0001:C0002 hl:B5A8C444BAB2DC7076365A8660F458F0_7_046:be9c7f9d3d4d:10 hl:68eb3417ed31bd40b47322289459eeec_19_033:be9c7f9d3d4d:27 codh:200014685:200014685_00015_1:B0001:C0207 hl:B5A8C444BAB2DC7076365A8660F458F0_5_064:be9c7f9d3d4d:2 codh:100249371:100249371_00032_1:B0001:C0015	2026-09-26
久	U+4E45	人	U+4EBA	46	hi:34280127 hi:34203290 hi:34276791 hi:34270990 hi:34058224 hi:34218587 hng:kcj:1138a hi:34127226	2026-09-26
