# MJ文字情報一覧表 変体仮名編 Ver.002.01
# publisher: 文字情報技術促進協議会（IPA 文字情報基盤）
# url: https://moji.or.jp/mojikiban/mjlist/
# access: https://moji.or.jp/wp-content/mojikiban/oscdl/MJIH00201-ods.zip
# archive: MJIH00201-ods.zip, 240803 bytes, sha256 b9f8125b20ab4c5fd1fd4f860834939b463a50641668901258dc65bf4c9b3fa6
# licence: CC-BY-SA-2.1-JP (https://moji.or.jp/mojikiban/mjlist/)
# attribution: 文字情報基盤 MJ文字情報一覧表 変体仮名編（IPA）, CC BY-SA 2.1 JP
# columns: mj, code_point, name, jibo, jibo_code_point, readings, koseki, gakujutsu, ninjal_url, note
# ODS columns read: MJ文字図形名, font文字, 図形, CharacterName, UCS符号位置, 字母, 字母のUCS符号位置, 音価１, 音価２, 音価３, 戸籍統一文字番号, 学術用変体仮名番号, 国語研URL, 備考
# readings joins 音価１, 音価２ and 音価３ with /; note carries 備考 verbatim.
# rows: 299, with a code point: 286, without: 13
mj	code_point	name	jibo	jibo_code_point	readings	koseki	gakujutsu	ninjal_url	note
MJ090098	U+1B05F	HENTAIGANA LETTER TA-2	多	U+591A	た	900490	160020010	https://cid.ninjal.ac.jp/kana/detail/160020010	
MJ090099	U+1B060	HENTAIGANA LETTER TA-3	多	U+591A	た	900480	160020020	https://cid.ninjal.ac.jp/kana/detail/160020020	
MJ090100	U+1B061	HENTAIGANA LETTER TA-4	當	U+7576	た		160050010	https://cid.ninjal.ac.jp/kana/detail/160050010	
MJ090101	U+1B062	HENTAIGANA LETTER TI-1	千	U+5343	ち	900530	170010010	https://cid.ninjal.ac.jp/kana/detail/170010010	
MJ090102	U+1B063	HENTAIGANA LETTER TI-2	地	U+5730	ち		170020010	https://cid.ninjal.ac.jp/kana/detail/170020010	
MJ090103	U+1B064	HENTAIGANA LETTER TI-3	智	U+667A	ち		170030010	https://cid.ninjal.ac.jp/kana/detail/170030010	
MJ090104	U+1B065	HENTAIGANA LETTER TI-4	知	U+77E5	ち	900520			
MJ090105	U+1B066	HENTAIGANA LETTER TI-5	知	U+77E5	ち	900510	170040010	https://cid.ninjal.ac.jp/kana/detail/170040010	
MJ090106	U+1B067	HENTAIGANA LETTER TI-6	致	U+81F4	ち		170050010	https://cid.ninjal.ac.jp/kana/detail/170050010	
MJ090107	U+1B068	HENTAIGANA LETTER TI-7	遲	U+9072	ち	900540	170060010	https://cid.ninjal.ac.jp/kana/detail/170060010	
MJ090108	U+1B069	HENTAIGANA LETTER TU-1	川	U+5DDD	つ	900550	180010010	https://cid.ninjal.ac.jp/kana/detail/180010010	
MJ090109	U+1B06A	HENTAIGANA LETTER TU-2	川	U+5DDD	つ		180010020	https://cid.ninjal.ac.jp/kana/detail/180010020	
MJ090111	U+1B06B	HENTAIGANA LETTER TU-3	津	U+6D25	つ	900560	180030010	https://cid.ninjal.ac.jp/kana/detail/180030010	
MJ090112	U+1B06C	HENTAIGANA LETTER TU-4	都	U+90FD	つ	901570	180040010	https://cid.ninjal.ac.jp/kana/detail/180040010	
MJ090110	U+1B06D	HENTAIGANA LETTER TU-TO	徒	U+5F92	つ/と	900570	180020010	https://cid.ninjal.ac.jp/kana/detail/180020010	
MJ090113	U+1B06E	HENTAIGANA LETTER TE-1	亭	U+4EAD	て	900600	190010010	https://cid.ninjal.ac.jp/kana/detail/190010010	
MJ090114	U+1B06F	HENTAIGANA LETTER TE-2	低	U+4F4E	て		190020010	https://cid.ninjal.ac.jp/kana/detail/190020010	
MJ090115	U+1B070	HENTAIGANA LETTER TE-3	傳	U+50B3	て	900590	190040010	https://cid.ninjal.ac.jp/kana/detail/190040010	
MJ090116	U+1B071	HENTAIGANA LETTER TE-4	天	U+5929	て		190050010	https://cid.ninjal.ac.jp/kana/detail/190050010	
MJ090117	U+1B072	HENTAIGANA LETTER TE-5	天	U+5929	て	900580	190050020	https://cid.ninjal.ac.jp/kana/detail/190050020	
MJ090118	U+1B073	HENTAIGANA LETTER TE-6	天	U+5929	て		190050030	https://cid.ninjal.ac.jp/kana/detail/190050030	
MJ090119	U+1B074	HENTAIGANA LETTER TE-7	帝	U+5E1D	て		190060010	https://cid.ninjal.ac.jp/kana/detail/190060010	
MJ090120	U+1B075	HENTAIGANA LETTER TE-8	弖	U+5F16	て		190070010	https://cid.ninjal.ac.jp/kana/detail/190070010	
MJ090122	U+1B076	HENTAIGANA LETTER TE-9	轉	U+8F49	て		190080010	https://cid.ninjal.ac.jp/kana/detail/190080010	
MJ090123	U+1B077	HENTAIGANA LETTER TO-1	土	U+571F	と		200010010	https://cid.ninjal.ac.jp/kana/detail/200010010	
MJ090124	U+1B078	HENTAIGANA LETTER TO-2	度	U+5EA6	と	901580	200020010	https://cid.ninjal.ac.jp/kana/detail/200020010	
MJ090126	U+1B079	HENTAIGANA LETTER TO-3	東	U+6771	と	900630	200040010	https://cid.ninjal.ac.jp/kana/detail/200040010	
MJ090127	U+1B07A	HENTAIGANA LETTER TO-4	登	U+767B	と	900620	200060010	https://cid.ninjal.ac.jp/kana/detail/200060010	
MJ090128	U+1B07B	HENTAIGANA LETTER TO-5	登	U+767B	と	900610	200060020	https://cid.ninjal.ac.jp/kana/detail/200060020	
MJ090129	U+1B07C	HENTAIGANA LETTER TO-6	砥	U+7825	と		200070010	https://cid.ninjal.ac.jp/kana/detail/200070010	
MJ090130	U+1B07D	HENTAIGANA LETTER TO-RA	等	U+7B49	と/ら		200080010	https://cid.ninjal.ac.jp/kana/detail/200080010	
MJ090131	U+1B07E	HENTAIGANA LETTER NA-1	南	U+5357	な		210010010	https://cid.ninjal.ac.jp/kana/detail/210010010	
MJ090132	U+1B07F	HENTAIGANA LETTER NA-2	名	U+540D	な		210020010	https://cid.ninjal.ac.jp/kana/detail/210020010	
MJ090133	U+1B080	HENTAIGANA LETTER NA-3	奈	U+5948	な	900650	210030010	https://cid.ninjal.ac.jp/kana/detail/210030010	
MJ090134	U+1B081	HENTAIGANA LETTER NA-4	奈	U+5948	な	900640	210030020	https://cid.ninjal.ac.jp/kana/detail/210030020	
MJ090135	U+1B082	HENTAIGANA LETTER NA-5	奈	U+5948	な		210030030	https://cid.ninjal.ac.jp/kana/detail/210030030	
MJ090136	U+1B083	HENTAIGANA LETTER NA-6	菜	U+83DC	な		210040010	https://cid.ninjal.ac.jp/kana/detail/210040010	
MJ090137	U+1B084	HENTAIGANA LETTER NA-7	那	U+90A3	な	900660	210050010	https://cid.ninjal.ac.jp/kana/detail/210050010	
MJ090138	U+1B085	HENTAIGANA LETTER NA-8	那	U+90A3	な		210050020	https://cid.ninjal.ac.jp/kana/detail/210050020	
MJ090139	U+1B086	HENTAIGANA LETTER NA-9	難	U+96E3	な	900670	210060010	https://cid.ninjal.ac.jp/kana/detail/210060010	
MJ090140	U+1B087	HENTAIGANA LETTER NI-1	丹	U+4E39	に	900700	220010010	https://cid.ninjal.ac.jp/kana/detail/220010010	
MJ090141	U+1B088	HENTAIGANA LETTER NI-2	二	U+4E8C	に		220020010	https://cid.ninjal.ac.jp/kana/detail/220020010	
MJ090142	U+1B089	HENTAIGANA LETTER NI-3	仁	U+4EC1	に		220030010	https://cid.ninjal.ac.jp/kana/detail/220030010	
MJ090143	U+1B08A	HENTAIGANA LETTER NI-4	兒	U+5152	に		220040010	https://cid.ninjal.ac.jp/kana/detail/220040010	
MJ090144	U+1B08B	HENTAIGANA LETTER NI-5	爾	U+723E	に	900690	220060010	https://cid.ninjal.ac.jp/kana/detail/220060010	
