code_point	char	name	readings	jibo	jibo_code_point
U+1B0BD	𛂽	HENTAIGANA LETTER HO-4	ほ	奉	U+5949
U+1B0BE	𛂾	HENTAIGANA LETTER HO-5	ほ	寶	U+5BF6
U+1B0BF	𛂿	HENTAIGANA LETTER HO-6	ほ	本	U+672C
U+1B0C0	𛃀	HENTAIGANA LETTER HO-7	ほ	本	U+672C
U+1B0C1	𛃁	HENTAIGANA LETTER HO-8	ほ	豐	U+8C50
U+1B0C2	𛃂	HENTAIGANA LETTER MA-1	ま	万	U+4E07
U+1B0C3	𛃃	HENTAIGANA LETTER MA-2	ま	末	U+672B
U+1B0C4	𛃄	HENTAIGANA LETTER MA-3	ま	末	U+672B
U+1B0C5	𛃅	HENTAIGANA LETTER MA-4	ま	滿	U+6EFF
U+1B0C6	𛃆	HENTAIGANA LETTER MA-5	ま	滿	U+6EFF
U+1B0C7	𛃇	HENTAIGANA LETTER MA-6	ま	萬	U+842C
U+1B0C8	𛃈	HENTAIGANA LETTER MA-7	ま	麻	U+9EBB
U+1B0C9	𛃉	HENTAIGANA LETTER MI-1	み	三	U+4E09
U+1B0CA	𛃊	HENTAIGANA LETTER MI-2	み	微	U+5FAE
U+1B0CB	𛃋	HENTAIGANA LETTER MI-3	み	美	U+7F8E
U+1B0CC	𛃌	HENTAIGANA LETTER MI-4	み	美	U+7F8E
U+1B0CD	𛃍	HENTAIGANA LETTER MI-5	み	美	U+7F8E
U+1B0CE	𛃎	HENTAIGANA LETTER MI-6	み	見	U+898B
U+1B0CF	𛃏	HENTAIGANA LETTER MI-7	み	身	U+8EAB
U+1B0D0	𛃐	HENTAIGANA LETTER MU-1	む	武	U+6B66
U+1B0D1	𛃑	HENTAIGANA LETTER MU-2	む	無	U+7121
U+1B0D2	𛃒	HENTAIGANA LETTER MU-3	む	牟	U+725F
U+1B0D3	𛃓	HENTAIGANA LETTER MU-4	む	舞	U+821E
U+1B0D4	𛃔	HENTAIGANA LETTER ME-1	め	免	U+514D
U+1B0D5	𛃕	HENTAIGANA LETTER ME-2	め	面	U+9762
U+1B0D6	𛃖	HENTAIGANA LETTER ME-MA	め/ま	馬	U+99AC
U+1B0D7	𛃗	HENTAIGANA LETTER MO-1	も	母	U+6BCD
U+1B0D8	𛃘	HENTAIGANA LETTER MO-2	も	毛	U+6BDB
U+1B0D9	𛃙	HENTAIGANA LETTER MO-3	も	毛	U+6BDB
U+1B0DA	𛃚	HENTAIGANA LETTER MO-4	も	毛	U+6BDB
U+1B0DB	𛃛	HENTAIGANA LETTER MO-5	も	茂	U+8302
U+1B0DC	𛃜	HENTAIGANA LETTER MO-6	も	裳	U+88F3
U+1B0DD	𛃝	HENTAIGANA LETTER YA-1	や	也	U+4E5F
U+1B0DE	𛃞	HENTAIGANA LETTER YA-2	や	也	U+4E5F
U+1B0DF	𛃟	HENTAIGANA LETTER YA-3	や	屋	U+5C4B
U+1B0E0	𛃠	HENTAIGANA LETTER YA-4	や	耶	U+8036
U+1B0E1	𛃡	HENTAIGANA LETTER YA-5	や	耶	U+8036
U+1B0E2	𛃢	HENTAIGANA LETTER YA-YO	や/よ	夜	U+591C
U+1B0E3	𛃣	HENTAIGANA LETTER YU-1	ゆ	游	U+6E38
U+1B0E4	𛃤	HENTAIGANA LETTER YU-2	ゆ	由	U+7531
U+1B0E5	𛃥	HENTAIGANA LETTER YU-3	ゆ	由	U+7531
U+1B0E6	𛃦	HENTAIGANA LETTER YU-4	ゆ	遊	U+904A
U+1B0E7	𛃧	HENTAIGANA LETTER YO-1	よ	代	U+4EE3
U+1B0E8	𛃨	HENTAIGANA LETTER YO-2	よ	余	U+4F59
U+1B0E9	𛃩	HENTAIGANA LETTER YO-3	よ	與	U+8207
U+1B0EA	𛃪	HENTAIGANA LETTER YO-4	よ	與	U+8207
U+1B0EB	𛃫	HENTAIGANA LETTER YO-5	よ	與	U+8207
U+1B0EC	𛃬	HENTAIGANA LETTER YO-6	よ	餘	U+9918
U+1B0ED	𛃭	HENTAIGANA LETTER RA-1	ら	羅	U+7F85
U+1B0EE	𛃮	HENTAIGANA LETTER RA-2	ら	良	U+826F
U+1B0EF	𛃯	HENTAIGANA LETTER RA-3	ら	良	U+826F
U+1B0F0	𛃰	HENTAIGANA LETTER RA-4	ら	良	U+826F
U+1B0F1	𛃱	HENTAIGANA LETTER RI-1	り	利	U+5229
U+1B0F2	𛃲	HENTAIGANA LETTER RI-2	り	利	U+5229
U+1B0F3	𛃳	HENTAIGANA LETTER RI-3	り	李	U+674E
U+1B0F4	𛃴	HENTAIGANA LETTER RI-4	り	梨	U+68A8
U+1B0F5	𛃵	HENTAIGANA LETTER RI-5	り	理	U+7406
U+1B0F6	𛃶	HENTAIGANA LETTER RI-6	り	里	U+91CC
U+1B0F7	𛃷	HENTAIGANA LETTER RI-7	り	離	U+96E2
U+1B0F8	𛃸	HENTAIGANA LETTER RU-1	る	流	U+6D41
U+1B0F9	𛃹	HENTAIGANA LETTER RU-2	る	留	U+7559
U+1B0FA	𛃺	HENTAIGANA LETTER RU-3	る	留	U+7559
U+1B0FB	𛃻	HENTAIGANA LETTER RU-4	る	留	U+7559
U+1B0FC	𛃼	HENTAIGANA LETTER RU-5	る	累	U+7D2F
U+1B0FD	𛃽	HENTAIGANA LETTER RU-6	る	類	U+985E
U+1B0FE	𛃾	HENTAIGANA LETTER RE-1	れ	禮	U+79AE
U+1B0FF	𛃿	HENTAIGANA LETTER RE-2	れ	禮	U+79AE
U+1B100	𛄀	HENTAIGANA LETTER RE-3	れ	連	U+9023
U+1B101	𛄁	HENTAIGANA LETTER RE-4	れ	麗	U+9E97
